Gene_ID	A.Priori.Candidate.Gene.Pathway	chr_v4	start_v4	end_v4	RefGen_v4.Annotated.Gene.Function..raw.	Gene.Name	functional.annotation	dark_control	light_control	light_dark
Zm00001d017139	IPP Synthesis	5	186706299	186712746	 hds1;hydroxymethylbutenyl diphosphate synthase1:	hds1	4-hydroxy-3-methylbut-2-enyl diphosphate synthase	0.616816850663042	0.221848538665963	0.0369018802769295
Zm00001d017608	IPP Synthesis	5	201460778	201462840	 mecs2;methyl erythritol cyclodiphosphate synthase2:	mecs2	isoprenoid F	0.189600781627193	0.941223707707984	0.312405000951092
Zm00001d017746	Tocochromanol Pathway	5	205825586	205829216	Tocopherol O-methyltransferase chloroplastic	vte4	gamma-tocopherol methyltransferase	0.583238372957894	0.432002237998912	0.962258079089372
Zm00001d018034	Prenyl Group Synthesis	5	212543656	212546035	 ggh1;geranylgeranyl hydrogenase1:	ggh1	Pyridine nucleotide-disulphide oxidoreductase family protein	0.0211295895613304	0.681744814659167	0.100948312367291
Zm00001d018034	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	5	212543656	212546035	 ggh1;geranylgeranyl hydrogenase1:	ggh1	Pyridine nucleotide-disulphide oxidoreductase family protein	0.0211295895613304	0.681744814659167	0.100948312367291
Zm00001d018061	Chorismate/Tyrosine Synthesis	5	213495789	213498656	Shikimate kinase  	sk1-c	shikimate kinase	0.562052842551758	0.898520360364266	0.821016458274393
Zm00001d019060	IPP Synthesis	7	14494700	14497925	 dxs2;deoxy xylulose synthase 2: root specific; function inferred from sequence and expression pattern comparison with Medicago trunculata genes	dxs2	Deoxyxylulose-5-phosphate synthase	0.223512985518083	0.999998663918892	0.224048742913467
Zm00001d019365	Tryosine Degradation	7	29973892	29976259	phytoene desaturation 1	hpd1	phytoene desaturation	0.306849391246139	0.488248072436647	0.93158475554768
Zm00001d019758	chlorophyll degradation	7	56865812	56867212	 chph1;chlorophyllase1: encodes a chlorophyllase	chph1-b	chlorophyllase	0.456551549369893	1	0.456551562511969
Zm00001d021611	Chorismate/Tyrosine Synthesis	7	158049839	158052734	Arogenate dehydratase/prephenate dehydratase 2 chloroplastic	adt2-b	arogenate dehydratase	0.0394402640481782	0.402009808412536	0.360894769681311
Zm00001d021709	IPP Synthesis	7	160908408	160912025	 ippi1;isopentenyl pyrophosphate isomerase1: part of multigene family encoding isopentenyl pyrophosphate isomerase	ippi1	isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase	0.423309813908571	0.078141261586878	0.540140056402446
Zm00001d021899	chlorophyll degradation	7	165624232	165629431	alpha/beta-Hydrolases superfamily protein	abh	alpha/beta-Hydrolases superfamily protein	0.880169012671401	0.664835331684974	0.919880881431317
Zm00001d021929	Prenyl Group Synthesis	7	166016446	166018185	 ggps3;geranylgeranyl pyrophosphate synthase3: part of multigene family encoding geranylgeranyl diphosphate synthase	ggps2	geranylgeranyl pyrophosphate synthase	0.999406915442679	0.825425809959665	0.807816712119263
Zm00001d022181	Chorismate/Tyrosine Synthesis	7	172074891	172079102	Phospho-2-dehydro-3-deoxyheptonate aldolase 1  	dhs2-d	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase	0.10411936742947	0.0657743176740093	0.969131121234647
Zm00001d022622	Chorismate/Tyrosine Synthesis	7	181391530	181395150	3-dehydroquinate synthase chloroplastic	dhqs-b	3-dehydroquinate synthase, putative	0.553137619438846	0.127247676105665	0.569068354654097
Zm00001d023536	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	10	9162610	9167073	Magnesium-chelatase subunit ChlI-1 chloroplastic	chli1	magnesium chelatase i2	0.510614546057239	0.987627203693939	0.599421625525597
Zm00001d023892	Chorismate/Tyrosine Synthesis	10	26542390	26547193	 sad1;shikimate dehydrogenase1: electrophoretic mobility; plastidial; monomeric	sad1	dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative	0.568840728036501	0.142560747610598	0.593596230587683
Zm00001d023968	Tryosine Degradation	10	32563929	32567309	Glutathione S-transferase  	atgsz	glutathione S-transferase (class zeta)	0.955758857473512	0.219327057783162	0.333789407676417
Zm00001d025333	Chorismate/Tyrosine Synthesis	10	114461652	114462911	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-c	arogenate dehydratase	0.711225025306905	0.163296723084642	0.520220775807624
Zm00001d026405	tetrapyrrole biosynthesis I (from glutamate)	10	145315798	145319169	Glutamyl-tRNA reductase  	hema1-c	Glutamyl-tRNA reductase family protein	0.0498418930148798	0.346169207790007	0.486729923138858
Zm00001d026603	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	10	148758023	148764012	 chlh1;Mg chelatase subunit H 1:	chlh1	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)	0.0725674574423414	0.66980744725224	0.0142163804995644
Zm00001d027656	chlorophyll degradation	1	10261506	10265855	Lethal leaf-spot 1  	pao	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.0656008992321933	0.904519258830523	0.138938263144831
Zm00001d027694	Prenyl Group Synthesis	1	11299491	11303586	Solanesyl diphosphate synthase 2 chloroplastic	sds	solanesyl diphosphate synthase	0.941077962822382	0.991357044645189	0.976664071726134
Zm00001d027950	tetrapyrrole biosynthesis I (from glutamate)	1	18185512	18190288	Uroporphyrinogen-III synthase chloroplastic	uros	uroporphyrinogen-III synthase family protein	0.870498470368854	0.680084553176521	0.390938729879622
Zm00001d028477	Chorismate/Tyrosine Synthesis	1	36246226	36256685	Chorismate synthase chloroplastic	cms-a	chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative	0.390707620083468	0.766589522386201	0.794373475635537
Zm00001d028712	Chorismate/Tyrosine Synthesis	1	43999111	44006680	Arogenate dehydratase/prephenate dehydratase 2 chloroplastic	adt2-a	arogenate dehydratase	0.296690154946259	0.682170589707327	0.761693439814159
Zm00001d029074	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	1	57250815	57254236	 les22;lesion22: (was Les*-J2552, les29) dominant leaf lesions,early-medium timing, small size, white color; porphyria	les22	Uroporphyrinogen decarboxylase	0.991976620799554	0.968402343831121	0.992013922951608
Zm00001d029150	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	1	60631458	60632663	 dvr1;divinyl reductase1: single copy, activity of encoded enzyme confirmed in heterologous host Wang et al 2013)	dvr1	NAD(P)-binding Rossmann-fold superfamily protein	0.211982870279006	0.901224312053412	0.404935053854608
Zm00001d029391	Chorismate/Tyrosine Synthesis	1	68665582	68667909	Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	dhs2-a	Class-II DAHP synthetase family protein	0.447757239531039	0.0508456210444713	0.00341005465088051
Zm00001d030369	Chorismate/Tyrosine Synthesis	1	126770594	126771011	Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	dhs2-b	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase	0.518930847831118	0.934157445571193	0.328988115478559
Zm00001d030549	chlorophyll degradation	1	143230400	143232667	Red chlorophyll catabolite reductase chloroplastic	rccr	accelerated cell death 2 (ACD2)	0.77518749176084	0.718154961859348	0.333844253811552
Zm00001d031071	Tocochromanol Pathway	1	175969709	175971563	 apg1;albino or pale green mutant1: MPBQ/MSBQ methyltransferase involved in plastoquinone synthesis. (A. Barkan, 2015)ortholog of Arabidopsis At3g63410, which encodes MPBQ/MSBQ methyltransferase involved in plastoquinone synthesis (Belcher et al 2015)	vte3	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	0.000513828290248708	0.251163100733182	0.0123410181915838
Zm00001d031860	chlorophyll cycle	1	204433977	204438771	7-hydroxymethyl chlorophyll a reductase chloroplastic	hcar	coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family	0.30489060692198	0.717990282817203	0.738022954658279
Zm00001d031934	Prenyl Group Synthesis	1	207282233	207283474	Chlorophyllase-1	chph1	chlorophyllase	0.0401792826916585	0.996282229575747	0.0344252530357737
Zm00001d031934	chlorophyll degradation	1	207282233	207283474	Chlorophyllase-1	chph1-a	chlorophyllase	0.0401792826916585	0.996282229575747	0.0344252530357737
Zm00001d032532	tetrapyrrole biosynthesis I (from glutamate)	1	229809577	229812869	Glutamyl-tRNA reductase 1 chloroplastic	hema1-a	Glutamyl-tRNA reductase family protein	0.677100352986131	0.606823926835286	0.18947636731601
Zm00001d032576	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	1	231120510	231123615	Protochlorophyllide reductase C chloroplastic	por1	protochlorophyllide oxidoreductase B	0.482653354167523	0.998697750212637	0.454941733088545
Zm00001d032926	Prenyl Group Synthesis	1	243418415	243419837	 chph2;chlorophyllase2: encodes a chlorophyllase	chph2	chlorophyllase	0.806134146726137	0.999947386801852	0.811451011409559
Zm00001d032926	chlorophyll degradation	1	243418415	243419837	 chph2;chlorophyllase2: encodes a chlorophyllase	chph2	chlorophyllase	0.806134146726137	0.999947386801852	0.811451011409559
Zm00001d033555	Tryosine Degradation	1	267028868	267032375	Fumarylacetoacetate (FAA) hydrolase family	fahd-a	Fumarylacetoacetate (FAA) hydrolase family	0.741702922698798	0.585626054256751	0.222068323348209
Zm00001d033896	IPP Synthesis	1	277726512	277729830	 lw1;lemon white1: white seedling, pale yellow endosperm; some alleles have zebra or luteus phenotypes	lw1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	0.464170085717607	0.687172499517441	0.92463602889417
Zm00001d034523	chlorophyll degradation	1	295617955	295620748	Pheophorbide a oxygenase  	ptc	ACD1-like	0.0101172503927086	0.929405402106005	0.00498428160943809
Zm00001d034739	Tryosine Degradation	1	301037532	301040854	Fumarylacetoacetate (FAA) hydrolase family	fahd-b	Fumarylacetoacetate (FAA) hydrolase family	0.630549980762744	0.279844074477294	0.78716048000764
Zm00001d035769	Chorismate/Tyrosine Synthesis	6	46863730	46864754	Chorismate mutase 2	cmu2-c	chorismate mutase	0.663836904553312	0.999939043350306	0.67026052143614
Zm00001d036046	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	6	68433795	68434769	Magnesium protoporphyrin IX methyltransferase chloroplastic	chlm	magnesium-protoporphyrin IX methyltransferase	0.388877756285768	0.381244091250051	0.999880001421477
Zm00001d036439	Chorismate/Tyrosine Synthesis	6	88560354	88561488	Arogenate dehydrogenase isoform 2  	arodeH2-c	prephenate dehydrogenase family protein	0.926883485254607	0.537196217586576	0.758884254140383
Zm00001d037858	Tocochromanol Pathway	6	139991985	139995915	Protein kinase superfamily protein	abc1k3-b	Protein kinase superfamily protein	0.446892535848991	0.861587824346296	0.215603301348652
Zm00001d037984	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	6	144381242	144390852	Chlorophyll synthase chloroplastic	chlg	UbiA prenyltransferase family protein	0.833136029429771	0.834317718389604	0.999997121948023
Zm00001d038170	IPP Synthesis	6	150418144	150422431	 dxs1;deoxy xylulose synthase 1: leaf specific; function inferred from Medicago trunculata gene sequence and expression pattern (Walter 2002)	dxs1	Deoxyxylulose-5-phosphate synthase	0.0743029462576466	0.937049175540805	0.0394393364726128
Zm00001d038193	IPP Synthesis	6	151176435	151181930	Isopentenyl-diphosphate Delta-isomerase I chloroplastic	ippi	isopentenyl diphosphate isomerase	0.385612473187009	0.298244414307459	0.980716438850705
Zm00001d038547	tetrapyrrole biosynthesis I (from glutamate)	6	159734306	159738603	Glutamate-1-semialdehyde 21-aminomutase 2 chloroplastic	gsa2	glutamate-1-semialdehyde-2,1-aminomutase	0.0823521117625508	0.340266607182654	0.657637851490945
Zm00001d039312	chlorophyll cycle	3	1461989	1466446	 nyc1;non-yellow coloring1: plays an important role in chlorophyll content and other related traits, and different sites act on chlorophyll metabolism under different light intensities in maize seedlings	nyc1	NAD(P)-binding Rossmann-fold superfamily protein	0.864703734401085	0.959141371872919	0.968607437772424
Zm00001d039491	Tocochromanol Pathway	3	5766074	5768360	Homogentisate phytyltransferase 1 chloroplastic	vte2.2	homogentisate phytyltransferase	0.432251208577264	0.44822311062101	0.999542387222866
Zm00001d040163	IPP Synthesis	3	29846486	29852954	 dxr1;deoxy xylulose reductoisomerase1: enzyme catalyzes the first committed step of the plastidial pathway to apocarotenoids during mycorrhizal establishment	dxr1	1-deoxy-D-xylulose 5-phosphate reductoisomerase	0.89264519924937	0.972645926187889	0.778500362161291
Zm00001d040356	Prenyl Group Synthesis	3	39647289	39648626	 ggh2;geranylgeranyl hydrogenase2:	ggh2	Pyridine nucleotide-disulphide oxidoreductase family protein	0.83124403196817	0.598883523377099	0.916013351479087
Zm00001d040356	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	3	39647289	39648626	 ggh2;geranylgeranyl hydrogenase2:	ggh2	Pyridine nucleotide-disulphide oxidoreductase family protein	0.83124403196817	0.598883523377099	0.916013351479087
Zm00001d040463	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	3	44744039	44746612	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase chloroplastic	crd1-a	dicarboxylate diiron protein, putative (Crd1)	0.973477598013101	0.879967433445292	0.763791429652952
Zm00001d040850	Chorismate/Tyrosine Synthesis	3	71571869	71601459	Shikimate biosynthesis protein aroDE  	arode-a	dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative	0.622164574174577	0.999920989331141	0.614945362040477
Zm00001d041700	Chorismate/Tyrosine Synthesis	3	133867939	133872499	Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase chloroplastic	arode-b	dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative	0.126593744625298	0.720260511244737	0.030710112622972
Zm00001d042026	chlorophyll cycle	3	147731588	147734168	Chlorophyllide a oxygenase chloroplastic	cao-b	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.686686968191672	0.682436258896208	0.24620122095279
Zm00001d042584	IPP Synthesis	3	172740091	172743103	 dmes1;diphosphocytidyl methyl erythritol synthase1: encodes 4-Diphosphocytidyl-2C-methyl-D-erythritol synthase	dmes1	Nucleotide-diphospho-sugar transferases superfamily protein	0.13685828968246	0.537221636497893	0.611111888702544
Zm00001d042685	Chorismate/Tyrosine Synthesis	3	176827382	176830753	 got4;glutamate-oxaloacetate transaminase4: putative aspartate aminotransferase; cytosolic (PPDB prediction; Sun et al 2009)	got4	aspartate aminotransferase	0.451353453084657	0.540675755736032	0.986508424889476
Zm00001d043182	IPP Synthesis	3	190807759	190813079	 cmk1;cytidine methyl kinase1: encodes 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [a.k.a. 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase]	cmk1	4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase	0.86453976807172	0.493336223292355	0.797447802025367
Zm00001d043356	Chorismate/Tyrosine Synthesis	3	197523894	197527638	Chorismate mutase 1 chloroplastic	cmu1-a	chorismate mutase	0.723809319355787	0.995173067437065	0.667900608011952
Zm00001d045383	IPP Synthesis	9	20241125	20246184	 dxs3;deoxy xylulose synthase3:	dxs3	1-deoxy-D-xylulose 5-phosphate synthase	0.627931187199681	0.458393923085492	0.954776459109659
Zm00001d045450	Chorismate/Tyrosine Synthesis	9	22538569	22542325	 eps1;enolpyruvylshikimate phosphate synthase1: unpubl sequence	eps1	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	0.870953083992785	0.849611486050515	0.998941457623768
Zm00001d045610	Tryosine Degradation	9	28669344	28671875	Homogentisate 12-dioxygenase	hgo	homogentisate 1,2-dioxygenase	0.00937885226681967	0.353653348457881	0.169533209874688
Zm00001d046168	Chorismate/Tyrosine Synthesis	9	68800140	68802556	Arogenate dehydrogenase 1 chloroplastic	arodeH2-d	arogenate dehydrogenase	0.510717393086705	0.0908276908806611	0.523500951223647
Zm00001d046558	Tocochromanol Pathway	9	95895575	95899061	 hggt1;homogentisate geranylgeranyl transferase1: vitamin E synthesis; contributes to variation in levels of tocotrienol (Lipka et al 2013)	hggt1	homogentisate phytyltransferase	0.0765678443449591	0.0326163030201871	0.889980074303797
Zm00001d046909	Tocochromanol Pathway	9	110047719	110058786	Homogentisate phytyltransferase 1 chloroplastic	vte2.1	homogentisate phytyltransferase	0.887597668392429	0.383807866763363	0.194726546491136
Zm00001d047755	Chorismate/Tyrosine Synthesis	9	140918274	140926061	Arogenate dehydratase/prephenate dehydratase 2 chloroplastic	adt2-c	arogenate dehydratase	0.16763828859213	0.779071092288581	0.0509898667353158
Zm00001d047896	Chorismate/Tyrosine Synthesis	9	144617709	144628809	Chorismate synthase chloroplastic	cms-b	chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative	0.999885882090746	0.0447586751181677	0.0435740552176662
Zm00001d048560	Chorismate/Tyrosine Synthesis	9	158683140	158684127	Glutathione S-transferase U16	gstu16	glutathione S-transferase TAU	0.9519789587235	0.617835969722401	0.794011241938726
Zm00001d048736	Tryosine Degradation	4	4607651	4610357	S-alkyl-thiohydroximate lyase SUR1	sur1-a	Tyrosine transaminase family protein	0.124707456524095	0.280918769340738	0.866793187669146
Zm00001d049046	Tocochromanol Pathway	4	13840987	13856256	Protein kinase superfamily protein	abc1k3-a	Protein kinase superfamily protein	0.83582067307445	0.72297165964654	0.977721498600016
Zm00001d050412	Chorismate/Tyrosine Synthesis	4	86684719	86687129	Chorismate mutase 2	cmu2-a	chorismate mutase	0.193923382965002	0.061162808033397	0.78373372975534
